index,DatetimeEnd,Concentration,year,month,day,hour,season
0,2019-01-01 02:00:00+01:00,24.5,2019,1,1,2,winter
1,2019-01-01 03:00:00+01:00,28.0,2019,1,1,3,winter
2,2019-01-01 04:00:00+01:00,24.0,2019,1,1,4,winter
3,2019-01-01 05:00:00+01:00,22.5,2019,1,1,5,winter
4,2019-01-01 06:00:00+01:00,22.0,2019,1,1,6,winter
5,2019-01-01 07:00:00+01:00,22.5,2019,1,1,7,winter
6,2019-01-01 08:00:00+01:00,25.5,2019,1,1,8,winter
7,2019-01-01 09:00:00+01:00,19.5,2019,1,1,9,winter
8,2019-01-01 10:00:00+01:00,20.0,2019,1,1,10,winter
9,2019-01-01 11:00:00+01:00,19.0,2019,1,1,11,winter
10,2019-01-01 12:00:00+01:00,20.5,2019,1,1,12,winter
11,2019-01-01 13:00:00+01:00,23.0,2019,1,1,13,winter
12,2019-01-01 14:00:00+01:00,21.0,2019,1,1,14,winter
13,2019-01-01 15:00:00+01:00,26.5,2019,1,1,15,winter
14,2019-01-01 16:00:00+01:00,37.0,2019,1,1,16,winter
15,2019-01-01 17:00:00+01:00,35.0,2019,1,1,17,winter
16,2019-01-01 18:00:00+01:00,37.5,2019,1,1,18,winter
17,2019-01-01 19:00:00+01:00,40.0,2019,1,1,19,winter
18,2019-01-01 20:00:00+01:00,31.0,2019,1,1,20,winter
19,2019-01-01 21:00:00+01:00,28.0,2019,1,1,21,winter
20,2019-01-01 22:00:00+01:00,27.5,2019,1,1,22,winter
21,2019-01-01 23:00:00+01:00,21.5,2019,1,1,23,winter
22,2019-01-02 00:00:00+01:00,23.0,2019,1,2,0,winter
23,2019-01-02 01:00:00+01:00,21.0,2019,1,2,1,winter
24,2019-01-02 02:00:00+01:00,15.5,2019,1,2,2,winter
25,2019-01-02 03:00:00+01:00,9.0,2019,1,2,3,winter
26,2019-01-02 04:00:00+01:00,11.0,2019,1,2,4,winter
27,2019-01-02 05:00:00+01:00,11.5,2019,1,2,5,winter
28,2019-01-02 06:00:00+01:00,18.5,2019,1,2,6,winter
29,2019-01-02 07:00:00+01:00,35.5,2019,1,2,7,winter
30,2019-01-02 08:00:00+01:00,46.5,2019,1,2,8,winter
31,2019-01-02 09:00:00+01:00,43.5,2019,1,2,9,winter
32,2019-01-02 10:00:00+01:00,38.0,2019,1,2,10,winter
33,2019-01-02 11:00:00+01:00,42.0,2019,1,2,11,winter
34,2019-01-02 12:00:00+01:00,41.0,2019,1,2,12,winter
35,2019-01-02 13:00:00+01:00,43.0,2019,1,2,13,winter
36,2019-01-02 14:00:00+01:00,41.0,2019,1,2,14,winter
37,2019-01-02 15:00:00+01:00,42.5,2019,1,2,15,winter
38,2019-01-02 16:00:00+01:00,47.0,2019,1,2,16,winter
39,2019-01-02 17:00:00+01:00,61.5,2019,1,2,17,winter
40,2019-01-02 18:00:00+01:00,65.0,2019,1,2,18,winter
41,2019-01-02 19:00:00+01:00,64.5,2019,1,2,19,winter
42,2019-01-02 20:00:00+01:00,63.5,2019,1,2,20,winter
43,2019-01-02 21:00:00+01:00,58.0,2019,1,2,21,winter
44,2019-01-02 22:00:00+01:00,51.5,2019,1,2,22,winter
45,2019-01-02 23:00:00+01:00,52.0,2019,1,2,23,winter
46,2019-01-03 00:00:00+01:00,44.0,2019,1,3,0,winter
47,2019-01-03 01:00:00+01:00,38.0,2019,1,3,1,winter
48,2019-01-03 02:00:00+01:00,26.0,2019,1,3,2,winter
49,2019-01-03 03:00:00+01:00,20.0,2019,1,3,3,winter
50,2019-01-03 04:00:00+01:00,20.0,2019,1,3,4,winter
51,2019-01-03 05:00:00+01:00,20.0,2019,1,3,5,winter
52,2019-01-03 06:00:00+01:00,33.5,2019,1,3,6,winter
53,2019-01-03 07:00:00+01:00,51.5,2019,1,3,7,winter
54,2019-01-03 08:00:00+01:00,55.0,2019,1,3,8,winter
55,2019-01-03 09:00:00+01:00,57.0,2019,1,3,9,winter
56,2019-01-03 10:00:00+01:00,52.5,2019,1,3,10,winter
57,2019-01-03 11:00:00+01:00,58.5,2019,1,3,11,winter
58,2019-01-03 12:00:00+01:00,57.5,2019,1,3,12,winter
59,2019-01-03 13:00:00+01:00,60.0,2019,1,3,13,winter
60,2019-01-03 14:00:00+01:00,57.0,2019,1,3,14,winter
61,2019-01-03 15:00:00+01:00,53.0,2019,1,3,15,winter
62,2019-01-03 16:00:00+01:00,59.5,2019,1,3,16,winter
63,2019-01-03 17:00:00+01:00,69.5,2019,1,3,17,winter
64,2019-01-03 18:00:00+01:00,76.5,2019,1,3,18,winter
65,2019-01-03 19:00:00+01:00,64.0,2019,1,3,19,winter
66,2019-01-03 20:00:00+01:00,63.5,2019,1,3,20,winter
67,2019-01-03 21:00:00+01:00,63.5,2019,1,3,21,winter
68,2019-01-03 22:00:00+01:00,60.5,2019,1,3,22,winter
69,2019-01-03 23:00:00+01:00,68.5,2019,1,3,23,winter
70,2019-01-04 00:00:00+01:00,66.0,2019,1,4,0,winter
71,2019-01-04 01:00:00+01:00,61.5,2019,1,4,1,winter
72,2019-01-04 02:00:00+01:00,55.0,2019,1,4,2,winter
73,2019-01-04 03:00:00+01:00,47.5,2019,1,4,3,winter
74,2019-01-04 04:00:00+01:00,52.5,2019,1,4,4,winter
75,2019-01-04 05:00:00+01:00,53.5,2019,1,4,5,winter
76,2019-01-04 06:00:00+01:00,55.0,2019,1,4,6,winter
77,2019-01-04 07:00:00+01:00,56.0,2019,1,4,7,winter
78,2019-01-04 08:00:00+01:00,59.0,2019,1,4,8,winter
79,2019-01-04 09:00:00+01:00,59.0,2019,1,4,9,winter
80,2019-01-04 10:00:00+01:00,62.5,2019,1,4,10,winter
81,2019-01-04 11:00:00+01:00,54.5,2019,1,4,11,winter
82,2019-01-04 12:00:00+01:00,43.5,2019,1,4,12,winter
83,2019-01-04 13:00:00+01:00,34.5,2019,1,4,13,winter
84,2019-01-04 14:00:00+01:00,37.0,2019,1,4,14,winter
85,2019-01-04 15:00:00+01:00,37.0,2019,1,4,15,winter
86,2019-01-04 16:00:00+01:00,40.5,2019,1,4,16,winter
87,2019-01-04 17:00:00+01:00,44.5,2019,1,4,17,winter
88,2019-01-04 18:00:00+01:00,48.0,2019,1,4,18,winter
89,2019-01-04 19:00:00+01:00,52.5,2019,1,4,19,winter
90,2019-01-04 20:00:00+01:00,46.5,2019,1,4,20,winter
91,2019-01-04 21:00:00+01:00,44.5,2019,1,4,21,winter
92,2019-01-04 22:00:00+01:00,39.5,2019,1,4,22,winter
93,2019-01-04 23:00:00+01:00,37.0,2019,1,4,23,winter
94,2019-01-05 00:00:00+01:00,35.0,2019,1,5,0,winter
95,2019-01-05 01:00:00+01:00,30.5,2019,1,5,1,winter
96,2019-01-05 02:00:00+01:00,27.5,2019,1,5,2,winter
97,2019-01-05 03:00:00+01:00,26.0,2019,1,5,3,winter
98,2019-01-05 04:00:00+01:00,29.5,2019,1,5,4,winter
99,2019-01-05 05:00:00+01:00,30.0,2019,1,5,5,winter
100,2019-01-05 06:00:00+01:00,25.5,2019,1,5,6,winter
101,2019-01-05 07:00:00+01:00,32.0,2019,1,5,7,winter
102,2019-01-05 08:00:00+01:00,28.0,2019,1,5,8,winter
103,2019-01-05 09:00:00+01:00,25.0,2019,1,5,9,winter
104,2019-01-05 10:00:00+01:00,31.5,2019,1,5,10,winter
105,2019-01-05 11:00:00+01:00,26.5,2019,1,5,11,winter
106,2019-01-05 12:00:00+01:00,42.5,2019,1,5,12,winter
107,2019-01-05 13:00:00+01:00,43.0,2019,1,5,13,winter
108,2019-01-05 14:00:00+01:00,41.0,2019,1,5,14,winter
109,2019-01-05 15:00:00+01:00,41.0,2019,1,5,15,winter
110,2019-01-05 16:00:00+01:00,41.0,2019,1,5,16,winter
111,2019-01-05 17:00:00+01:00,43.0,2019,1,5,17,winter
112,2019-01-05 18:00:00+01:00,46.5,2019,1,5,18,winter
113,2019-01-05 19:00:00+01:00,45.5,2019,1,5,19,winter
114,2019-01-05 20:00:00+01:00,40.5,2019,1,5,20,winter
115,2019-01-05 21:00:00+01:00,38.5,2019,1,5,21,winter
116,2019-01-05 22:00:00+01:00,34.5,2019,1,5,22,winter
117,2019-01-05 23:00:00+01:00,30.0,2019,1,5,23,winter
118,2019-01-06 00:00:00+01:00,31.0,2019,1,6,0,winter
119,2019-01-06 01:00:00+01:00,25.0,2019,1,6,1,winter
120,2019-01-06 02:00:00+01:00,22.5,2019,1,6,2,winter
121,2019-01-06 03:00:00+01:00,21.5,2019,1,6,3,winter
122,2019-01-06 04:00:00+01:00,20.5,2019,1,6,4,winter
123,2019-01-06 05:00:00+01:00,19.0,2019,1,6,5,winter
124,2019-01-06 06:00:00+01:00,21.5,2019,1,6,6,winter
125,2019-01-06 07:00:00+01:00,23.0,2019,1,6,7,winter
126,2019-01-06 08:00:00+01:00,25.5,2019,1,6,8,winter
127,2019-01-06 09:00:00+01:00,23.0,2019,1,6,9,winter
128,2019-01-06 10:00:00+01:00,36.0,2019,1,6,10,winter
129,2019-01-06 11:00:00+01:00,43.0,2019,1,6,11,winter
130,2019-01-06 12:00:00+01:00,39.0,2019,1,6,12,winter
131,2019-01-06 13:00:00+01:00,45.0,2019,1,6,13,winter
132,2019-01-06 14:00:00+01:00,44.5,2019,1,6,14,winter
133,2019-01-06 15:00:00+01:00,42.5,2019,1,6,15,winter
134,2019-01-06 16:00:00+01:00,46.5,2019,1,6,16,winter
135,2019-01-06 17:00:00+01:00,52.5,2019,1,6,17,winter
136,2019-01-06 18:00:00+01:00,45.5,2019,1,6,18,winter
137,2019-01-06 19:00:00+01:00,47.5,2019,1,6,19,winter
138,2019-01-06 20:00:00+01:00,45.0,2019,1,6,20,winter
139,2019-01-06 21:00:00+01:00,46.0,2019,1,6,21,winter
140,2019-01-06 22:00:00+01:00,45.0,2019,1,6,22,winter
141,2019-01-06 23:00:00+01:00,46.0,2019,1,6,23,winter
142,2019-01-07 00:00:00+01:00,45.0,2019,1,7,0,winter
143,2019-01-07 01:00:00+01:00,44.0,2019,1,7,1,winter
144,2019-01-07 02:00:00+01:00,42.0,2019,1,7,2,winter
145,2019-01-07 03:00:00+01:00,39.5,2019,1,7,3,winter
146,2019-01-07 04:00:00+01:00,38.0,2019,1,7,4,winter
147,2019-01-07 05:00:00+01:00,38.0,2019,1,7,5,winter
148,2019-01-07 06:00:00+01:00,37.5,2019,1,7,6,winter
149,2019-01-07 07:00:00+01:00,40.5,2019,1,7,7,winter
150,2019-01-07 08:00:00+01:00,45.5,2019,1,7,8,winter
151,2019-01-07 09:00:00+01:00,50.0,2019,1,7,9,winter
152,2019-01-07 10:00:00+01:00,48.5,2019,1,7,10,winter
153,2019-01-07 11:00:00+01:00,44.5,2019,1,7,11,winter
154,2019-01-07 12:00:00+01:00,40.5,2019,1,7,12,winter
155,2019-01-07 13:00:00+01:00,41.0,2019,1,7,13,winter
156,2019-01-07 14:00:00+01:00,40.0,2019,1,7,14,winter
157,2019-01-07 15:00:00+01:00,39.5,2019,1,7,15,winter
158,2019-01-07 16:00:00+01:00,42.0,2019,1,7,16,winter
159,2019-01-07 17:00:00+01:00,42.0,2019,1,7,17,winter
160,2019-01-07 18:00:00+01:00,38.5,2019,1,7,18,winter
161,2019-01-07 19:00:00+01:00,40.5,2019,1,7,19,winter
162,2019-01-07 20:00:00+01:00,26.5,2019,1,7,20,winter
163,2019-01-07 21:00:00+01:00,24.5,2019,1,7,21,winter
164,2019-01-07 22:00:00+01:00,18.5,2019,1,7,22,winter
165,2019-01-07 23:00:00+01:00,27.5,2019,1,7,23,winter
166,2019-01-08 00:00:00+01:00,16.0,2019,1,8,0,winter
167,2019-01-08 01:00:00+01:00,11.5,2019,1,8,1,winter
168,2019-01-08 02:00:00+01:00,9.0,2019,1,8,2,winter
169,2019-01-08 03:00:00+01:00,8.5,2019,1,8,3,winter
170,2019-01-08 04:00:00+01:00,7.5,2019,1,8,4,winter
171,2019-01-08 05:00:00+01:00,10.0,2019,1,8,5,winter
172,2019-01-08 06:00:00+01:00,18.5,2019,1,8,6,winter
